City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,banda aceh,5.5577,95.3222,297.97,86,94,1.37,ID,1675541927
85,vila velha,-20.3297,-40.2925,303.12,78,0,7.2,BR,1675541927
86,bathsheba,13.2167,-59.5167,301.49,69,40,9.77,BB,1675541748
87,tamale,9.4008,-0.8393,305.64,13,100,2.76,GH,1675541743
88,barrow,71.2906,-156.7887,242.16,76,75,3.09,US,1675541808
89,hazorasp,41.3194,61.0742,276.06,64,1,4.57,UZ,1675541928
90,caravelas,-17.7125,-39.2481,301.41,71,7,4.98,BR,1675541382
91,hofn,64.2539,-15.2082,273.96,57,4,6.32,IS,1675541680
92,boueni,-12.9025,45.0761,301.14,77,33,2.69,YT,1675541928
93,qaanaaq,77.484,-69.3632,254.28,66,100,2.48,GL,1675541792
94,ancud,-41.8697,-73.8203,294.16,65,43,2.21,CL,1675541853
95,jizan,17.3333,42.6667,298.67,68,66,3.31,SA,1675541929
96,romitan,39.9343,64.3814,276.12,100,100,3.09,UZ,1675541929
97,seoul,37.5683,126.9778,268.84,65,0,0.46,KR,1675541533
98,atar,20.5169,-13.0499,291.8,16,99,5.65,MR,1675541930
99,impfondo,1.6381,18.0667,300.46,32,100,1.19,CG,1675541930
100,ayia galini,35.1,24.6833,285.29,77,28,0.89,GR,1675541930
101,pemangkat,1.1667,108.9667,297.1,92,100,2.03,ID,1675541865
102,muli,2.9167,73.5667,299.82,69,54,2.91,MV,1675541877
103,caborca,30.5838,-111.101,296.29,15,0,1.25,MX,1675541864
104,pisco,-13.7,-76.2167,297.18,83,0,3.6,PE,1675541931
105,portland,45.5234,-122.6762,284.26,87,75,5.14,US,1675541660
106,cabedelo,-6.9811,-34.8339,302.52,74,42,5.75,BR,1675541931
107,la baule-escoublac,47.2922,-2.364,281.96,76,100,3.6,FR,1675541886
108,fontem,5.4685,9.8818,296.18,65,95,0.3,CM,1675541932
109,kenai,60.5544,-151.2583,268.79,87,100,2.06,US,1675541707
110,new norfolk,-42.7826,147.0587,286.44,65,23,1.57,AU,1675541816
111,sitka,57.0531,-135.33,275.09,87,100,1.54,US,1675541821
112,havoysund,70.9963,24.6622,270.28,84,100,4.24,NO,1675541919
113,kodiak,57.79,-152.4072,268.88,86,0,2.57,US,1675541815
114,deputatskiy,69.3,139.9,238.46,99,99,1.67,RU,1675541932
115,cap malheureux,-19.9842,57.6142,299.52,77,100,1.34,MU,1675541862
116,castro,-24.7911,-50.0119,294.67,85,60,4.12,BR,1675541591
117,sisimiut,66.9395,-53.6735,251.15,96,70,4.04,GL,1675541933
118,saint anthony,45.0205,-93.218,271.9,64,0,3.6,US,1675541933
119,makakilo city,21.3469,-158.0858,294.64,89,100,3.6,US,1675541934
120,butaritari,3.0707,172.7902,300.5,80,73,8.82,KI,1675541811
121,nanortalik,60.1432,-45.2371,269.76,81,100,11.95,GL,1675541749
122,indramayu,-6.3264,108.32,299.25,85,100,4.42,ID,1675541934
123,bubaque,11.2833,-15.8333,298.52,66,10,5.16,GW,1675541935
124,tamandare,-8.7597,-35.1047,300.31,75,64,3.9,BR,1675541935
125,khasan,42.4308,130.6434,265.21,78,17,1.7,RU,1675541851
126,carnarvon,-24.8667,113.6333,298.8,72,2,1.63,AU,1675541805
127,kismayo,-0.3582,42.5454,297.81,82,25,6.26,SO,1675541935
128,bima,-8.4667,118.7167,296.81,97,100,0.6,ID,1675541561
129,berezovyy,51.6667,135.7,248.67,97,100,0.87,RU,1675541936
130,rocha,-34.4833,-54.3333,294.18,81,52,8.63,UY,1675541936
131,katav-ivanovsk,54.7531,58.1956,257.59,93,64,1.79,RU,1675541936
132,lagoa,39.05,-27.9833,288.23,87,5,7.67,PT,1675541937
133,parainen,60.3067,22.301,268.79,71,4,0.47,FI,1675541937
134,christchurch,-43.5333,172.6333,300.26,55,97,7.2,NZ,1675541923
135,talnakh,69.4865,88.3972,261.6,96,100,2.72,RU,1675541554
136,gore,-46.1028,168.9436,294.9,70,100,3.34,NZ,1675541938
137,rabo de peixe,37.8,-25.5833,286.88,88,20,3.6,PT,1675541938
138,atuona,-9.8,-139.0333,298.83,79,22,8.01,PF,1675541806
